id,topic,prompt,domains,recency_days,out_file
CAP_001,Cap & Contracts,"Analyze current NFL accounting for signing bonuses, option bonuses, and void years. Provide 5 fully worked contract examples with year-by-year cap hits and dead money, citing authoritative sources.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_001.md
CAP_002,Cap & Contracts,"Explain June 1 designation mechanics vs. in-season release/trade. Include timeline rules, cash vs. cap, and two numeric scenarios with tables.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_002.md
CAP_003,Cap & Contracts,"Map all contract components (base, signing, option, roster, workout, LTBE/NTLBE incentives) to cap treatment. Provide a validator checklist we can turn into unit tests.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_003.md
CAP_004,Cap & Contracts,"Detail restructure tools (simple conversion, option bonuses, void-year adds) with constraints. Provide 3 before/after cap tables including prorations and future dead money.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_004.md
CAP_005,Cap & Contracts,"Summarize rookie contract rules (round/slot), fifth-year option, and UFA/RFA tenders. Include worked examples and edge cases.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_005.md
CAP_006,Cap & Contracts,Compare Spotrac vs. OverTheCap methodologies for cap figures; list discrepancies and how to reconcile them programmatically.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_006.md
CAP_007,Cap & Contracts (Advanced),"Design JSON schemas for contract objects that capture all cap-relevant terms. Include field types, constraints, and example payloads.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_007.md
CAP_008,Cap & Contracts (Advanced),"Research void-year usage trends (2019–present). Quantify frequency, average lengths, and risks; provide references.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_008.md
CAP_009,Cap & Contracts (Advanced),Explain NLTBE vs. LTBE incentives with examples; show how postseason awards/escalators flow into next-year cap.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_009.md
CAP_010,Cap & Contracts (Advanced),"Document trade mechanics: pre/post-June 1, guaranteed salary offsets, injury guarantees. Provide tables.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_010.md
CAP_011,Cap & Contracts (Advanced),Define algorithm to compute dead money for any transaction type. Provide pseudocode and test vectors.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_011.md
CAP_012,Cap & Contracts (Advanced),Summarize CBA rules on guaranteed salary (skill/cap/injury). Include examples of partial guarantees and vesting dates.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_012.md
CAP_013,Cap & Contracts (Advanced),"Outline approach to simulate multi-year cap strategy with rolling window, including expected cap growth assumptions and risk metrics.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_013.md
CAP_014,Cap & Contracts (Advanced),Explain practice squad/elevations and their cap impact. Provide formulae and a reference table.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_014.md
CAP_015,Cap & Contracts (Advanced),Research post-season share payments and their interaction (if any) with team cap; clarify misconceptions with citations.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_015.md
CAP_016,Cap & Contracts (Advanced),"Detail roster cut-down economics (90→53) and the financial implications of IR, PUP, NFI; include cap accounting pathways.","nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_016.md
CAP_017,Cap & Contracts (Advanced),Compare franchise/transition tag formulas and historical usage since 2011 CBA; include position outliers.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_017.md
CAP_018,Cap & Contracts (Advanced),Create a compliance checklist for cap/legal validation before approving any simulated transaction.,"nfl.com,nflpa.com,overthercap.com,spotrac.com,espn.com,si.com",540,cap/CAP_018.md
DRAFT_001,Draft & Scouting,"Survey empirical predictors of NFL success by position (QB, OT, EDGE, WR). Include at least 3 rigorous sources per position and note disagreements.","pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_001.md
DRAFT_002,Draft & Scouting,Design a fog-of-war model for scouting where reports narrow intervals with investment. Provide math and JSON fields we can store.,"pff.com,sumersports.com,theathletic.com,nfl.com,footballoutsiders.com,espn.com",540,draft/DRAFT_002.md
